Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
1, 1, 0.930000, 1000.000000, 0.160000, 0.440000, 0.200000, 0.440000, 0.240000, 0.440000, 0.280000, 0.570000, 
1, 10, 1.000000, 10.000000, 0.200000, 0.440000, 0.240000, 0.440000, 0.280000, 0.570000, 0.280000, 0.570000, 
1, 20, 1.060000, 0.100000, 0.240000, 0.440000, 0.280000, 0.570000, 0.280000, 0.570000, 0.320000, 0.570000, 
1, 30, 1.170000, 0.001000, 0.280000, 0.570000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 
1, 40, 1.240000, 1000.000000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 
1, 50, 1.180000, 0.000000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 
1, 60, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
1, 70, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
1, 80, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
1, 90, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
1, 100, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
1000, 1, 1.000000, 10.000000, 0.200000, 0.440000, 0.240000, 0.440000, 0.280000, 0.570000, 0.280000, 0.570000, 
1000, 10, 1.060000, 0.100000, 0.240000, 0.440000, 0.280000, 0.570000, 0.280000, 0.570000, 0.320000, 0.570000, 
1000, 20, 1.170000, 0.001000, 0.280000, 0.570000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 
1000, 30, 1.240000, 1000.000000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 
1000, 40, 1.180000, 0.000000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 
1000, 50, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
1000, 60, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
1000, 70, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
1000, 80, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
1000, 90, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
1000, 100, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
2000, 1, 1.060000, 0.100000, 0.240000, 0.440000, 0.280000, 0.570000, 0.280000, 0.570000, 0.320000, 0.570000, 
2000, 10, 1.170000, 0.001000, 0.280000, 0.570000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 
2000, 20, 1.240000, 1000.000000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 
2000, 30, 1.180000, 0.000000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 
2000, 40, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
2000, 50, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
2000, 60, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
2000, 70, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
2000, 80, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
2000, 90, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
2000, 100, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
3000, 1, 1.170000, 0.001000, 0.280000, 0.570000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 
3000, 10, 1.240000, 1000.000000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 
3000, 20, 1.180000, 0.000000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 
3000, 30, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
3000, 40, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
3000, 50, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
3000, 60, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
3000, 70, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
3000, 80, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
3000, 90, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
3000, 100, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 1, 1.240000, 1000.000000, 0.280000, 0.570000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 
4000, 10, 1.180000, 0.000000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 
4000, 20, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
4000, 30, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
