Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
1, 1, 3.300000, 1000.000000, 1.810000, 0.440000, 2.120000, 0.440000, 2.430000, 0.560000, 2.720000, 0.440000, 
1, 10, 3.430000, 0.001000, 2.120000, 0.440000, 2.430000, 0.560000, 2.720000, 0.440000, 3.020000, 0.440000, 
1, 20, 4.040000, 0.001000, 2.430000, 0.560000, 2.720000, 0.440000, 3.020000, 0.440000, 3.330000, 0.440000, 
1, 30, 4.670000, 10.000000, 2.720000, 0.440000, 3.020000, 0.440000, 3.330000, 0.440000, 3.650000, 0.440000, 
1, 40, 5.300000, 1.000000, 3.020000, 0.440000, 3.330000, 0.440000, 3.650000, 0.440000, 3.930000, 0.440000, 
1, 50, 5.950000, 0.000000, 3.330000, 0.440000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 
1, 60, 6.570000, 0.010000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 
1, 70, 7.200000, 0.000000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 
1, 80, 7.850000, 10.000000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
1, 90, 8.470000, 0.100000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
1, 100, 9.130000, 1.000000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 
1000, 1, 3.430000, 0.001000, 2.120000, 0.440000, 2.430000, 0.560000, 2.720000, 0.440000, 3.020000, 0.440000, 
1000, 10, 4.040000, 0.001000, 2.430000, 0.560000, 2.720000, 0.440000, 3.020000, 0.440000, 3.330000, 0.440000, 
1000, 20, 4.670000, 10.000000, 2.720000, 0.440000, 3.020000, 0.440000, 3.330000, 0.440000, 3.650000, 0.440000, 
1000, 30, 5.300000, 1.000000, 3.020000, 0.440000, 3.330000, 0.440000, 3.650000, 0.440000, 3.930000, 0.440000, 
1000, 40, 5.950000, 0.000000, 3.330000, 0.440000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 
1000, 50, 6.570000, 0.010000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 
1000, 60, 7.200000, 0.000000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 
1000, 70, 7.850000, 10.000000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
1000, 80, 8.470000, 0.100000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
1000, 90, 9.130000, 1.000000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 
1000, 100, 55.310000, 0.001000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 0.000000, 0.000000, 
2000, 1, 4.040000, 0.001000, 2.430000, 0.560000, 2.720000, 0.440000, 3.020000, 0.440000, 3.330000, 0.440000, 
2000, 10, 4.670000, 10.000000, 2.720000, 0.440000, 3.020000, 0.440000, 3.330000, 0.440000, 3.650000, 0.440000, 
2000, 20, 5.300000, 1.000000, 3.020000, 0.440000, 3.330000, 0.440000, 3.650000, 0.440000, 3.930000, 0.440000, 
2000, 30, 5.950000, 0.000000, 3.330000, 0.440000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 
2000, 40, 6.570000, 0.010000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 
2000, 50, 7.200000, 0.000000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 
2000, 60, 7.850000, 10.000000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
2000, 70, 8.470000, 0.100000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
2000, 80, 9.130000, 1.000000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 
2000, 90, 55.310000, 0.001000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 0.000000, 0.000000, 
