Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
1, 1, 2.540000, 1000.000000, 1.820000, 0.440000, 2.350000, 0.440000, 2.820000, 0.560000, 2.830000, 0.440000, 
1, 10, 3.380000, 0.001000, 2.350000, 0.440000, 2.820000, 0.560000, 2.830000, 0.440000, 3.140000, 0.440000, 
1, 20, 4.200000, 0.001000, 2.820000, 0.560000, 2.830000, 0.440000, 3.140000, 0.440000, 3.440000, 0.440000, 
1, 30, 4.910000, 10.000000, 2.830000, 0.440000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 
1, 40, 5.080000, 1.000000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 
1, 50, 5.710000, 0.000000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 
1, 60, 6.360000, 0.010000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 
1, 70, 7.000000, 0.000000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 
1, 80, 7.650000, 10.000000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
1, 90, 8.280000, 0.100000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
1, 100, 8.910000, 1.000000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 
1000, 1, 3.380000, 0.001000, 2.350000, 0.440000, 2.820000, 0.560000, 2.830000, 0.440000, 3.140000, 0.440000, 
1000, 10, 4.200000, 0.001000, 2.820000, 0.560000, 2.830000, 0.440000, 3.140000, 0.440000, 3.440000, 0.440000, 
1000, 20, 4.910000, 10.000000, 2.830000, 0.440000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 
1000, 30, 5.080000, 1.000000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 
1000, 40, 5.710000, 0.000000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 
1000, 50, 6.360000, 0.010000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 
1000, 60, 7.000000, 0.000000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 
1000, 70, 7.650000, 10.000000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
1000, 80, 8.280000, 0.100000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
1000, 90, 8.910000, 1.000000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 
1000, 100, 53.100000, 0.001000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 
2000, 1, 4.200000, 0.001000, 2.820000, 0.560000, 2.830000, 0.440000, 3.140000, 0.440000, 3.440000, 0.440000, 
2000, 10, 4.910000, 10.000000, 2.830000, 0.440000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 
2000, 20, 5.080000, 1.000000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 
2000, 30, 5.710000, 0.000000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 
2000, 40, 6.360000, 0.010000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 
2000, 50, 7.000000, 0.000000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 
2000, 60, 7.650000, 10.000000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
2000, 70, 8.280000, 0.100000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
2000, 80, 8.910000, 1.000000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 
2000, 90, 53.100000, 0.001000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 
2000, 100, 97.820000, 0.010000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
3000, 1, 4.910000, 10.000000, 2.830000, 0.440000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 
3000, 10, 5.080000, 1.000000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 
3000, 20, 5.710000, 0.000000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 
3000, 30, 6.360000, 0.010000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 
3000, 40, 7.000000, 0.000000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 
3000, 50, 7.650000, 10.000000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
3000, 60, 8.280000, 0.100000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
3000, 70, 8.910000, 1.000000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 
3000, 80, 53.100000, 0.001000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 
3000, 90, 97.820000, 0.010000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
3000, 100, 152.130000, 1.000000, 4.990000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 1, 5.080000, 1.000000, 3.140000, 0.440000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 
4000, 10, 5.710000, 0.000000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 
4000, 20, 6.360000, 0.010000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 
4000, 30, 7.000000, 0.000000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 
4000, 40, 7.650000, 10.000000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
4000, 50, 8.280000, 0.100000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
4000, 60, 8.910000, 1.000000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 
4000, 70, 53.100000, 0.001000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 
4000, 80, 97.820000, 0.010000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 90, 152.130000, 1.000000, 4.990000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 100, 186.320000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 1, 5.710000, 0.000000, 3.440000, 0.440000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 
5000, 10, 6.360000, 0.010000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 
5000, 20, 7.000000, 0.000000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 
5000, 30, 7.650000, 10.000000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
5000, 40, 8.280000, 0.100000, 4.660000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 
5000, 50, 8.910000, 1.000000, 4.980000, 0.440000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 
5000, 60, 53.100000, 0.001000, 4.980000, 0.440000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 
5000, 70, 97.820000, 0.010000, 4.980000, 0.440000, 4.990000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 80, 152.130000, 1.000000, 4.990000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 90, 186.320000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 100, 249.480000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 1, 6.360000, 0.010000, 3.750000, 0.440000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 
6000, 10, 7.000000, 0.000000, 4.060000, 0.440000, 4.360000, 0.440000, 4.660000, 0.440000, 4.980000, 0.440000, 
