Weights are nan - discard trial 14,16800,0,
Weights are nan - discard trial 14,16800,1,
Weights are nan - discard trial 14,16800,3,
Weights are nan - discard trial 14,19200,3,
Weights are nan - discard trial 14,21600,0,
Weights are nan - discard trial 14,21600,1,
Weights are nan - discard trial 14,21600,2,
Weights are nan - discard trial 14,24000,0,
Weights are nan - discard trial 14,24000,1,
Weights are nan - discard trial 14,24000,2,
Weights are nan - discard trial 16,9600,0,
Weights are nan - discard trial 16,9600,3,
Weights are nan - discard trial 16,14400,0,
Weights are nan - discard trial 16,14400,1,
Weights are nan - discard trial 16,14400,2,
Weights are nan - discard trial 16,14400,3,
Weights are nan - discard trial 16,16800,1,
Weights are nan - discard trial 18,2400,1,
Weights are nan - discard trial 18,2400,2,
Weights are nan - discard trial 18,12000,0,
Weights are nan - discard trial 18,12000,1,
Weights are nan - discard trial 18,12000,2,
Weights are nan - discard trial 18,12000,3,
Weights are nan - discard trial 20,2400,0,
Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
1, 1, 0.440000, 0.010000, 0.000000, 0.313423, 0.000000, 0.208642, 0.000000, 0.144909, 0.000000, 0.100140, 
1, 2400, 0.420000, 100.000000, 0.000000, 0.208642, 0.000000, 0.144909, 0.000000, 0.100140, 0.000000, 0.103501, 
1, 4800, 0.410000, 100.000000, 0.000000, 0.144909, 0.000000, 0.100140, 0.000000, 0.103501, 0.000000, 0.101500, 
1, 7200, 0.410000, 0.001000, 0.000000, 0.100140, 0.000000, 0.103501, 0.000000, 0.101500, 0.000000, 0.139268, 
1, 9600, 0.410000, 0.100000, 0.000000, 0.103501, 0.000000, 0.101500, 0.000000, 0.139268, 0.000000, 0.141348, 
1, 12000, 0.400000, 100.000000, 0.000000, 0.101500, 0.000000, 0.139268, 0.000000, 0.141348, 0.000000, 0.126705, 
1, 14400, 0.410000, 0.010000, 0.000000, 0.139268, 0.000000, 0.141348, 0.000000, 0.126705, 0.000000, 0.130186, 
1, 16800, 0.420000, 100.000000, 0.000000, 0.141348, 0.000000, 0.126705, 0.000000, 0.130186, 0.000000, 0.095979, 
1, 19200, 0.410000, 0.001000, 0.000000, 0.126705, 0.000000, 0.130186, 0.000000, 0.095979, 0.000000, 0.095979, 
1, 21600, 0.420000, 10.000000, 0.000000, 0.130186, 0.000000, 0.095979, 0.000000, 0.095979, 0.360000, 0.095979, 
1, 24000, 0.420000, 10.000000, 0.000000, 0.095979, 0.000000, 0.095979, 0.360000, 0.095979, 0.700000, 0.099940, 
