Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
1, 1, 0.440000, 1000.000000, 0.000000, 0.315623, 0.000000, 0.209362, 0.000000, 0.140908, 0.000000, 0.100140, 
1, 2400, 0.390000, 100.000000, 0.000000, 0.209362, 0.000000, 0.140908, 0.000000, 0.100140, 0.000000, 0.103501, 
1, 4800, 0.400000, 100.000000, 0.000000, 0.140908, 0.000000, 0.100140, 0.000000, 0.103501, 0.000000, 0.103021, 
1, 7200, 0.400000, 0.001000, 0.000000, 0.100140, 0.000000, 0.103501, 0.000000, 0.103021, 0.000000, 0.139268, 
1, 9600, 0.400000, 0.100000, 0.000000, 0.103501, 0.000000, 0.103021, 0.000000, 0.139268, 0.000000, 0.143709, 
1, 12000, 0.410000, 100.000000, 0.000000, 0.103021, 0.000000, 0.139268, 0.000000, 0.143709, 0.000000, 0.126705, 
1, 14400, 0.400000, 0.010000, 0.000000, 0.139268, 0.000000, 0.143709, 0.000000, 0.126705, 0.000000, 0.130586, 
1, 16800, 0.400000, 100.000000, 0.000000, 0.143709, 0.000000, 0.126705, 0.000000, 0.130586, 0.000000, 0.095979, 
1, 19200, 0.410000, 0.001000, 0.000000, 0.126705, 0.000000, 0.130586, 0.000000, 0.095979, 0.000000, 0.096099, 
1, 21600, 0.410000, 10.000000, 0.000000, 0.130586, 0.000000, 0.095979, 0.000000, 0.096099, 0.350000, 0.095979, 
1, 24000, 0.400000, 100.000000, 0.000000, 0.095979, 0.000000, 0.096099, 0.350000, 0.095979, 0.690000, 0.095979, 
2, 1, 0.390000, 100.000000, 0.000000, 0.209362, 0.000000, 0.140908, 0.000000, 0.100140, 0.000000, 0.103501, 
2, 2400, 0.400000, 100.000000, 0.000000, 0.140908, 0.000000, 0.100140, 0.000000, 0.103501, 0.000000, 0.103021, 
2, 4800, 0.400000, 0.001000, 0.000000, 0.100140, 0.000000, 0.103501, 0.000000, 0.103021, 0.000000, 0.139268, 
2, 7200, 0.400000, 0.100000, 0.000000, 0.103501, 0.000000, 0.103021, 0.000000, 0.139268, 0.000000, 0.143709, 
2, 9600, 0.410000, 100.000000, 0.000000, 0.103021, 0.000000, 0.139268, 0.000000, 0.143709, 0.000000, 0.126705, 
2, 12000, 0.400000, 0.010000, 0.000000, 0.139268, 0.000000, 0.143709, 0.000000, 0.126705, 0.000000, 0.130586, 
2, 14400, 0.400000, 100.000000, 0.000000, 0.143709, 0.000000, 0.126705, 0.000000, 0.130586, 0.000000, 0.095979, 
2, 16800, 0.410000, 0.001000, 0.000000, 0.126705, 0.000000, 0.130586, 0.000000, 0.095979, 0.000000, 0.096099, 
2, 19200, 0.410000, 10.000000, 0.000000, 0.130586, 0.000000, 0.095979, 0.000000, 0.096099, 0.350000, 0.095979, 
2, 21600, 0.400000, 100.000000, 0.000000, 0.095979, 0.000000, 0.096099, 0.350000, 0.095979, 0.690000, 0.095979, 
2, 24000, 0.410000, 1000.000000, 0.000000, 0.096099, 0.350000, 0.095979, 0.690000, 0.095979, 1.100000, 0.095979, 
4, 1, 0.400000, 100.000000, 0.000000, 0.140908, 0.000000, 0.100140, 0.000000, 0.103501, 0.000000, 0.103021, 
