Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
1, 1, 0.930000, 1000.000000, 0.180000, 0.440000, 0.230000, 0.440000, 0.290000, 0.440000, 0.330000, 0.570000, 
1, 10, 0.980000, 10.000000, 0.230000, 0.440000, 0.290000, 0.440000, 0.330000, 0.570000, 0.390000, 0.570000, 
1, 20, 1.080000, 0.100000, 0.290000, 0.440000, 0.330000, 0.570000, 0.390000, 0.570000, 0.450000, 0.570000, 
1, 30, 1.160000, 0.001000, 0.330000, 0.570000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 
1, 40, 1.240000, 1000.000000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 
1, 50, 1.350000, 0.000000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 
1, 60, 1.400000, 100.000000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 
1, 70, 1.440000, 1000.000000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 
1, 80, 1.510000, 100.000000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 
1, 90, 1.590000, 1000.000000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 
1, 100, 1.680000, 100.000000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 
1000, 1, 0.980000, 10.000000, 0.230000, 0.440000, 0.290000, 0.440000, 0.330000, 0.570000, 0.390000, 0.570000, 
1000, 10, 1.080000, 0.100000, 0.290000, 0.440000, 0.330000, 0.570000, 0.390000, 0.570000, 0.450000, 0.570000, 
1000, 20, 1.160000, 0.001000, 0.330000, 0.570000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 
1000, 30, 1.240000, 1000.000000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 
1000, 40, 1.350000, 0.000000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 
1000, 50, 1.400000, 100.000000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 
1000, 60, 1.440000, 1000.000000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 
1000, 70, 1.510000, 100.000000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 
1000, 80, 1.590000, 1000.000000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 
1000, 90, 1.680000, 100.000000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 
1000, 100, 6.260000, 1000.000000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 
2000, 1, 1.080000, 0.100000, 0.290000, 0.440000, 0.330000, 0.570000, 0.390000, 0.570000, 0.450000, 0.570000, 
2000, 10, 1.160000, 0.001000, 0.330000, 0.570000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 
2000, 20, 1.240000, 1000.000000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 
2000, 30, 1.350000, 0.000000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 
2000, 40, 1.400000, 100.000000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 
2000, 50, 1.440000, 1000.000000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 
2000, 60, 1.510000, 100.000000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 
2000, 70, 1.590000, 1000.000000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 
2000, 80, 1.680000, 100.000000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 
2000, 90, 6.260000, 1000.000000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 
2000, 100, 11.350000, 0.001000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
3000, 1, 1.160000, 0.001000, 0.330000, 0.570000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 
3000, 10, 1.240000, 1000.000000, 0.390000, 0.570000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 
3000, 20, 1.350000, 0.000000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 
